차사, 163, 70
바사, 154, 50
다가, 154, 97
자타, 165, 93
아마, 178, 63
사카, 151, 83
자마, 160, 80
카사, 172, 81
라하, 152, 92
아마, 156, 77
마바, 189, 52
다차, 161, 76
다바, 176, 94
파바, 179, 59
사바, 161, 59
마카, 169, 92
파라, 157, 86
차사, 156, 75
카사, 155, 61
가파, 168, 65
하차, 166, 79
바라, 170, 82
나가, 171, 70
마하, 172, 66
사라, 154, 42
사차, 150, 85
카다, 172, 88
마파, 170, 57
가라, 155, 83
사차, 168, 52
카파, 158, 43
다하, 151, 98
다카, 156, 78
아카, 186, 47
카다, 183, 72
라타, 152, 52
사마, 177, 61
라타, 175, 74
파마, 173, 96
차바, 155, 58
타하, 183, 90
라차, 182, 43
아차, 169, 81
마타, 182, 74
라바, 173, 48
파나, 179, 51
사자, 187, 41
나자, 165, 93
라카, 166, 79
하카, 170, 41
가다, 166, 53
마하, 182, 55
나마, 171, 76
라자, 177, 48
나다, 168, 99
나마, 174, 41
하사, 185, 62
차아, 159, 85
다카, 159, 61
가라, 157, 99
카다, 155, 74
나차, 181, 67
바타, 182, 41
다다, 164, 94
바하, 188, 92
라타, 185, 71
파아, 165, 63
자마, 173, 61
아나, 177, 69
하나, 158, 70
다차, 184, 76
차나, 171, 88
하하, 179, 86
나바, 162, 57
타라, 178, 92
파타, 182, 79
가하, 157, 70
타차, 168, 73
하나, 165, 49
다타, 180, 54
바나, 155, 90
다바, 169, 96
하차, 166, 97
바카, 183, 89
자마, 153, 69
나하, 172, 79
카마, 153, 91
마하, 168, 62
타아, 153, 69
라차, 188, 70
파하, 180, 51
차다, 188, 91
바사, 183, 61
나자, 178, 48
나카, 165, 97
나파, 150, 62
나사, 154, 91
차파, 155, 51
다아, 187, 50
나타, 176, 57
차마, 165, 43
아하, 184, 96
가가, 152, 54
아가, 179, 82
라가, 165, 69
마타, 180, 61
나라, 154, 58
카나, 153, 55
라마, 163, 99
사자, 175, 63
나차, 165, 78
아카, 177, 89
라파, 182, 96
마하, 188, 89
파하, 150, 50
카파, 158, 41
파나, 178, 47
가마, 175, 69
아카, 185, 59
하나, 151, 70
차타, 181, 69
차라, 171, 52
가차, 171, 62
다바, 171, 98
하차, 161, 82
라다, 163, 41
바마, 164, 67
라카, 181, 81
나바, 175, 63
파아, 189, 52
바파, 168, 48
하다, 187, 45
자사, 159, 72
다마, 172, 70
파라, 155, 47
카타, 167, 58
나나, 166, 46
카바, 179, 74
